Project,ID,File/Section,Context,Text,Interpreted Constraint,Operands,Enforcing Statement,Enforcing Statement CIP,Constraint Type,Data Set
apache-ant-1.10.6,ANT-1,targets.html.txt,"In the first example, if the module-A-present property is set (to any value, e.g. false), the target will be run. In the second example, if the module-A-present property is set (again, to any value), the target will not be run.",the module-A-present property is set,has If.property,"property, set",src/main/org/apache/tools/ant/PropertyHelper.java:1169,null-empty-check,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-10,targets.html.txt,"Targets without such a description are deemed internal and will not be listed, unless either the -verbose or -debug option is used.",option is used.,if -verbose used,"-verbose option, used",org/apache/tools/ant/Main.java:333,binary-comparison,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-11,running.html.txt,ant.XmlLogger.stylesheet.uri | filename (default log.xsl),default log.xsl),default ant.XmlLogger.stylesheet.uri = log.xsl,"ant.XmlLogger.stylesheet.uri, log.xsl",org/apache/tools/ant/XmlLogger.java:180,constant-argument,concrete-value,CDS
apache-ant-1.10.6,ANT-12,Tasks/dependset.html.txt,"The dependset task compares a set of sources with a set of target files. If any of the sources has been modified more recently than any of the target files, all of the target files are removed.","any of the sources has been modified more recently than any of the target files,",source.mod_time > target.mod_time,"sources, modified",org/apache/tools/ant/taskdefs/DependSet.java:254,binary-comparison,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-13,Tasks/dependset.html.txt,"Sources and target files are specified via nested resource collections; sources can be resources of any type, while targets are restricted to files only. At least one set of sources and one set of targets is required.",is required.,amountOfSetsSources > 0,"set sources, required",org/apache/tools/ant/taskdefs/DependSet.java:200,null-check,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-14,Tasks/unpack.html.txt,"If dest is a directory the name of the destination file is the same as src (with the .gz, .bz2 or .xz extension removed if present). If dest is omitted, the parent dir of src is taken. The file is only expanded if the source resource is newer than the destination file, or when the destination file does not exist.",dest is a directory,if dest is directory,"dest directory, is",org/apache/tools/ant/taskdefs/Unpack.java:141,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-15,Tasks/unpack.html.txt,"If dest is a directory the name of the destination file is the same as src (with the .gz, .bz2 or .xz extension removed if present). If dest is omitted, the parent dir of src is taken. The file is only expanded if the source resource is newer than the destination file, or when the destination file does not exist.","dest is omitted,",if dest not present,"dest, omitted",org/apache/tools/ant/taskdefs/Unpack.java:133,null-check,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-16,Tasks/javac.html.txt,defaultexcludes | Indicates whether default excludes should be used or not (yes|no).,(yes|no).,"options for javac.defaultexcludes = yes, no","defaultexcludes, yes, no",org/apache/tools/ant/Project.java:1722,equals-or-chain,categorical-value,CDS
apache-ant-1.10.6,ANT-17,Tasks/javac.html.txt,"executable | Complete path to the javac executable to use in case of fork is yes.
Since Ant 1.6 this attribute can also be used to specify the path to the executable when using jikes, jvc, gcj or sj.",fork is yes.,if javac.fork = yes,"fork, yes",org/apache/tools/ant/taskdefs/Javac.java:911,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-18,Tasks/jar.html.txt,"The update parameter controls what happens if the JAR file already exists. When set to yes, the JAR file is updated with the files specified. When set to no (the default) the JAR file is overwritten. An example use of this is provided in the Zip task documentation. Please note that ZIP files store file modification times with a granularity of 2 seconds. If a file is less than 2 seconds newer than the entry in the archive, Ant will not consider it newer.","set to yes,",if jar.update = yes,"update, yes",org/apache/tools/ant/taskdefs/Zip.java:729,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-19,Tasks/jar.html.txt,"If the manifest is omitted, a simple one will be supplied by Apache Ant.","the manifest is omitted,",if manifest is not present,"manifest, omitted",org/apache/tools/ant/taskdefs/Jar.java:491,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-2,targets.html.txt,"The optional description attribute can be used to provide a one-line description of this target, which is printed by the -projecthelp command-line option. Targets without such a description are deemed internal and will not be listed, unless either the -verbose or -debug option is used.",Targets without such a description,checks description is set,"Targets description, without",src/main/org/apache/tools/ant/Main.java:1163,null-check,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-20,Tasks/jar.html.txt,"whenmanifestonly | behavior when no files match. Valid values are fail, skip, and create. | No; defaults to create",defaults to create,default jar.whenmanifestonly = create,"whenmanifestonly, create",org/apache/tools/ant/taskdefs/Jar.java:186,assign-constant,concrete-value,CDS
apache-ant-1.10.6,ANT-21,Tasks/java.html.txt,jar | the location of the jar file to execute (must have a Main-Class entry in the manifest). fork must be set to true if this option is selected. See notes below for more details.,fork must be set to true,if java.fork = true,"fork, true",org/apache/tools/ant/taskdefs/Java.java:149,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-22,Tasks/java.html.txt,fork | if enabled triggers the class execution in another JVM.,fork if enabled,if java.fork = true,"fork, enabled",org/apache/tools/ant/taskdefs/Java.java:223,boolean-property,dual-value-comparison,CDS
apache-ant-1.10.6,ANT-23,clonevm.html.txt,"If the value of the property is true, then all system properties of the forked JVM will be the same as those of the JVM running Ant. In addition, if you set ant.build.clonevm to true and build.sysclasspath has not been set, the bootclasspath of forked JVMs gets constructed as if build.sysclasspath had the value last.","the value of the property is true,",junit.clonevm = true,"clonevm, true",org/apache/tools/ant/types/CommandlineJava.java:517,boolean-property,dual-value-comparison,CDS
