Data Set,Technique,%H@1,H@1,%H@5,H@5,%H@10,H@10,Average Method Rank,Average Recall,MRR,Constraints
CDS,Lasso-13Luc,0.1411042945,23,0.4539877301,74,0.5766871166,94,35.4,0.8159509202,0.2750855662,163
CDS,Lucene,0.1104294479,18,0.2760736196,45,0.3926380368,64,218.3,0.981595092,0.1978421532,163
CDS,Lasso-13VSM,0.1165644172,19,0.3987730061,65,0.4969325153,81,39.4,0.8159509202,0.2289112555,163
CDS,VSM,0.0245398773,4,0.1349693252,22,0.226993865,37,270.5,0.981595092,0.08275793148,163
CDS,Lasso-13LSI,0.1104294479,18,0.2760736196,45,0.3987730061,65,58.6,0.8159509202,0.1963388846,163
CDS,LSI,0.0490797546,8,0.09202453988,15,0.1288343558,21,3309.6,0.9877300613,0.07340252118,163
VDS,Lasso-13Luc,0.3897058824,53,0.6691176471,91,0.7794117647,106,12.9,0.8970588235,0.5147575799,136
VDS,Lucene,0.2573529412,35,0.5220588235,71,0.6617647059,90,66,0.9852941176,0.374990516,136
VDS,Lasso-13VSM,0.3970588235,54,0.6397058824,87,0.7279411765,99,13.5,0.8970588235,0.504594314,136
VDS,VSM,0.1838235294,25,0.3823529412,52,0.4411764706,60,90.1,0.9852941176,0.2763850035,136
VDS,Lasso-13LSI,0.2941176471,40,0.5220588235,71,0.6617647059,90,22.7,0.8970588235,0.4087520778,136
VDS,LSI,0.125,17,0.2205882353,30,0.2794117647,38,1065.7,0.9926470588,0.1797492276,136
CDS + VDS,Lasso-13Luc,0.254180602,76,0.5518394649,165,0.6688963211,200,24.6,0.8528428094,0.3841002614,299
CDS + VDS,Lucene,0.1772575251,53,0.3879598662,116,0.5150501672,154,148.9,0.983277592,0.2784179971,299
CDS + VDS,Lasso-13VSM,0.2441471572,73,0.508361204,152,0.602006689,180,27,0.8528428094,0.3543055563,299
CDS + VDS,VSM,0.09698996656,29,0.2474916388,74,0.3244147157,97,188.3,0.983277592,0.170829108,299
CDS + VDS,Lasso-13LSI,0.1939799331,58,0.3879598662,116,0.5183946488,155,41.4,0.8528428094,0.292954919,299
CDS + VDS,LSI,0.08361204013,25,0.1505016722,45,0.1973244147,59,2286.2,0.9899665552,0.1217742673,299
